Complaint_Text,Time,Location,Keywords,Previous_History,Incident_Type
Received phishing email asking OTP,Evening,Office,received phishing email,Yes,Cyber Crime
Online fraud through UPI,Afternoon,Office,online fraud through,Yes,Cyber Crime
Online fraud through UPI,Morning,Residential,online fraud through,Yes,Cyber Crime
Received phishing email asking OTP,Evening,Market,received phishing email,Yes,Cyber Crime
My bank account was hacked,Morning,Office,my bank account,Yes,Cyber Crime
Credit card scam reported,Night,Market,credit card scam,No,Cyber Crime
Credit card scam reported,Evening,Office,credit card scam,No,Cyber Crime
Received phishing email asking OTP,Night,Office,received phishing email,No,Cyber Crime
My bank account was hacked,Morning,Residential,my bank account,No,Cyber Crime
Instagram account hacked,Night,Hospital,instagram account hacked,Yes,Cyber Crime
Online fraud through UPI,Afternoon,Bank,online fraud through,No,Cyber Crime
Online fraud through UPI,Night,Residential,online fraud through,No,Cyber Crime
Credit card scam reported,Morning,Bank,credit card scam,Yes,Cyber Crime
Instagram account hacked,Morning,Office,instagram account hacked,No,Cyber Crime
Received phishing email asking OTP,Afternoon,Highway,received phishing email,Yes,Cyber Crime
Online fraud through UPI,Night,Railway Station,online fraud through,Yes,Cyber Crime
Received phishing email asking OTP,Evening,Bank,received phishing email,Yes,Cyber Crime
Received phishing email asking OTP,Night,Hospital,received phishing email,No,Cyber Crime
Online fraud through UPI,Night,Market,online fraud through,Yes,Cyber Crime
Instagram account hacked,Night,School,instagram account hacked,Yes,Cyber Crime
Credit card scam reported,Evening,Market,credit card scam,Yes,Cyber Crime
Online fraud through UPI,Night,Hospital,online fraud through,No,Cyber Crime
Credit card scam reported,Morning,Highway,credit card scam,No,Cyber Crime
Received phishing email asking OTP,Evening,Bank,received phishing email,No,Cyber Crime
Online fraud through UPI,Morning,Railway Station,online fraud through,Yes,Cyber Crime
Credit card scam reported,Afternoon,Bank,credit card scam,No,Cyber Crime
My bank account was hacked,Night,Hospital,my bank account,No,Cyber Crime
Credit card scam reported,Morning,Residential,credit card scam,Yes,Cyber Crime
Instagram account hacked,Evening,Bank,instagram account hacked,No,Cyber Crime
Received phishing email asking OTP,Afternoon,Railway Station,received phishing email,Yes,Cyber Crime
My bank account was hacked,Morning,Residential,my bank account,No,Cyber Crime
Instagram account hacked,Night,Residential,instagram account hacked,Yes,Cyber Crime
Online fraud through UPI,Evening,Residential,online fraud through,No,Cyber Crime
Credit card scam reported,Evening,Bank,credit card scam,No,Cyber Crime
Credit card scam reported,Evening,Hospital,credit card scam,Yes,Cyber Crime
Online fraud through UPI,Evening,Highway,online fraud through,No,Cyber Crime
Credit card scam reported,Evening,Market,credit card scam,No,Cyber Crime
Online fraud through UPI,Afternoon,Market,online fraud through,No,Cyber Crime
Received phishing email asking OTP,Night,Residential,received phishing email,Yes,Cyber Crime
My bank account was hacked,Morning,School,my bank account,Yes,Cyber Crime
Instagram account hacked,Evening,Railway Station,instagram account hacked,Yes,Cyber Crime
Instagram account hacked,Afternoon,Railway Station,instagram account hacked,No,Cyber Crime
My bank account was hacked,Afternoon,School,my bank account,No,Cyber Crime
Instagram account hacked,Night,Bank,instagram account hacked,Yes,Cyber Crime
Instagram account hacked,Evening,Bank,instagram account hacked,No,Cyber Crime
Credit card scam reported,Night,School,credit card scam,Yes,Cyber Crime
Online fraud through UPI,Evening,School,online fraud through,No,Cyber Crime
Online fraud through UPI,Afternoon,Hospital,online fraud through,No,Cyber Crime
Instagram account hacked,Evening,Office,instagram account hacked,No,Cyber Crime
My bank account was hacked,Night,Railway Station,my bank account,No,Cyber Crime
Received phishing email asking OTP,Evening,Market,received phishing email,No,Cyber Crime
My bank account was hacked,Evening,Hospital,my bank account,No,Cyber Crime
Instagram account hacked,Afternoon,School,instagram account hacked,No,Cyber Crime
Credit card scam reported,Evening,Residential,credit card scam,Yes,Cyber Crime
Credit card scam reported,Afternoon,School,credit card scam,Yes,Cyber Crime
Credit card scam reported,Afternoon,School,credit card scam,Yes,Cyber Crime
My bank account was hacked,Night,Bank,my bank account,No,Cyber Crime
My bank account was hacked,Afternoon,Market,my bank account,Yes,Cyber Crime
Instagram account hacked,Night,Hospital,instagram account hacked,Yes,Cyber Crime
Online fraud through UPI,Evening,Office,online fraud through,Yes,Cyber Crime
My bank account was hacked,Afternoon,Market,my bank account,Yes,Cyber Crime
Instagram account hacked,Afternoon,Market,instagram account hacked,No,Cyber Crime
Instagram account hacked,Afternoon,Office,instagram account hacked,Yes,Cyber Crime
My bank account was hacked,Evening,Highway,my bank account,No,Cyber Crime
Online fraud through UPI,Night,Hospital,online fraud through,Yes,Cyber Crime
Credit card scam reported,Night,Office,credit card scam,Yes,Cyber Crime
My bank account was hacked,Evening,Residential,my bank account,No,Cyber Crime
Online fraud through UPI,Afternoon,Market,online fraud through,No,Cyber Crime
Online fraud through UPI,Afternoon,Residential,online fraud through,No,Cyber Crime
Instagram account hacked,Evening,Highway,instagram account hacked,No,Cyber Crime
My bank account was hacked,Afternoon,Residential,my bank account,No,Cyber Crime
Online fraud through UPI,Afternoon,Market,online fraud through,No,Cyber Crime
Instagram account hacked,Afternoon,Hospital,instagram account hacked,No,Cyber Crime
Online fraud through UPI,Evening,Market,online fraud through,No,Cyber Crime
Online fraud through UPI,Afternoon,Market,online fraud through,Yes,Cyber Crime
Instagram account hacked,Evening,Residential,instagram account hacked,No,Cyber Crime
Credit card scam reported,Evening,Highway,credit card scam,No,Cyber Crime
Online fraud through UPI,Afternoon,School,online fraud through,Yes,Cyber Crime
Instagram account hacked,Afternoon,Hospital,instagram account hacked,No,Cyber Crime
Instagram account hacked,Night,School,instagram account hacked,Yes,Cyber Crime
Credit card scam reported,Morning,Hospital,credit card scam,No,Cyber Crime
My bank account was hacked,Morning,Market,my bank account,Yes,Cyber Crime
Credit card scam reported,Afternoon,Residential,credit card scam,No,Cyber Crime
Credit card scam reported,Night,Highway,credit card scam,Yes,Cyber Crime
Credit card scam reported,Night,Highway,credit card scam,No,Cyber Crime
My bank account was hacked,Night,Residential,my bank account,No,Cyber Crime
Instagram account hacked,Morning,Hospital,instagram account hacked,No,Cyber Crime
My bank account was hacked,Night,Office,my bank account,Yes,Cyber Crime
Received phishing email asking OTP,Morning,Market,received phishing email,No,Cyber Crime
Online fraud through UPI,Morning,Market,online fraud through,Yes,Cyber Crime
Instagram account hacked,Morning,Office,instagram account hacked,No,Cyber Crime
Received phishing email asking OTP,Afternoon,Railway Station,received phishing email,No,Cyber Crime
Instagram account hacked,Night,Railway Station,instagram account hacked,No,Cyber Crime
My bank account was hacked,Afternoon,Bank,my bank account,Yes,Cyber Crime
Received phishing email asking OTP,Night,Residential,received phishing email,Yes,Cyber Crime
My bank account was hacked,Morning,Office,my bank account,No,Cyber Crime
Credit card scam reported,Night,Railway Station,credit card scam,Yes,Cyber Crime
Received phishing email asking OTP,Night,Bank,received phishing email,Yes,Cyber Crime
Online fraud through UPI,Afternoon,Highway,online fraud through,Yes,Cyber Crime
Instagram account hacked,Morning,School,instagram account hacked,Yes,Cyber Crime
My bank account was hacked,Morning,Market,my bank account,No,Cyber Crime
Credit card scam reported,Morning,School,credit card scam,Yes,Cyber Crime
Instagram account hacked,Night,School,instagram account hacked,Yes,Cyber Crime
My bank account was hacked,Afternoon,Office,my bank account,Yes,Cyber Crime
Credit card scam reported,Evening,Bank,credit card scam,Yes,Cyber Crime
Online fraud through UPI,Afternoon,School,online fraud through,No,Cyber Crime
Online fraud through UPI,Evening,Market,online fraud through,Yes,Cyber Crime
Instagram account hacked,Night,Market,instagram account hacked,No,Cyber Crime
Instagram account hacked,Evening,Railway Station,instagram account hacked,No,Cyber Crime
Received phishing email asking OTP,Evening,Railway Station,received phishing email,Yes,Cyber Crime
Credit card scam reported,Night,School,credit card scam,Yes,Cyber Crime
Online fraud through UPI,Afternoon,Hospital,online fraud through,Yes,Cyber Crime
Credit card scam reported,Night,Railway Station,credit card scam,Yes,Cyber Crime
Instagram account hacked,Afternoon,Office,instagram account hacked,Yes,Cyber Crime
Online fraud through UPI,Morning,Hospital,online fraud through,No,Cyber Crime
My bank account was hacked,Afternoon,Market,my bank account,No,Cyber Crime
Instagram account hacked,Morning,Highway,instagram account hacked,Yes,Cyber Crime
Credit card scam reported,Afternoon,Hospital,credit card scam,Yes,Cyber Crime
Online fraud through UPI,Evening,Market,online fraud through,Yes,Cyber Crime
Received phishing email asking OTP,Morning,Hospital,received phishing email,Yes,Cyber Crime
Credit card scam reported,Afternoon,Railway Station,credit card scam,Yes,Cyber Crime
Credit card scam reported,Evening,Office,credit card scam,No,Cyber Crime
Instagram account hacked,Evening,Office,instagram account hacked,No,Cyber Crime
Online fraud through UPI,Night,Hospital,online fraud through,Yes,Cyber Crime
Instagram account hacked,Evening,School,instagram account hacked,No,Cyber Crime
Online fraud through UPI,Night,Market,online fraud through,Yes,Cyber Crime
Received phishing email asking OTP,Morning,Office,received phishing email,No,Cyber Crime
Online fraud through UPI,Afternoon,School,online fraud through,No,Cyber Crime
Received phishing email asking OTP,Night,School,received phishing email,No,Cyber Crime
Credit card scam reported,Evening,Office,credit card scam,No,Cyber Crime
Instagram account hacked,Night,Residential,instagram account hacked,No,Cyber Crime
Received phishing email asking OTP,Afternoon,Hospital,received phishing email,Yes,Cyber Crime
Credit card scam reported,Morning,Market,credit card scam,Yes,Cyber Crime
My bank account was hacked,Morning,Railway Station,my bank account,Yes,Cyber Crime
Received phishing email asking OTP,Morning,Residential,received phishing email,Yes,Cyber Crime
Received phishing email asking OTP,Night,Bank,received phishing email,Yes,Cyber Crime
Credit card scam reported,Night,Hospital,credit card scam,Yes,Cyber Crime
My bank account was hacked,Night,Market,my bank account,Yes,Cyber Crime
Credit card scam reported,Evening,Office,credit card scam,Yes,Cyber Crime
Credit card scam reported,Night,Residential,credit card scam,Yes,Cyber Crime
My bank account was hacked,Afternoon,School,my bank account,Yes,Cyber Crime
Credit card scam reported,Evening,Bank,credit card scam,No,Cyber Crime
Instagram account hacked,Morning,Bank,instagram account hacked,No,Cyber Crime
Instagram account hacked,Afternoon,School,instagram account hacked,No,Cyber Crime
My bank account was hacked,Morning,Highway,my bank account,No,Cyber Crime
Instagram account hacked,Night,Hospital,instagram account hacked,Yes,Cyber Crime
My bank account was hacked,Afternoon,Highway,my bank account,No,Cyber Crime
Instagram account hacked,Evening,Highway,instagram account hacked,Yes,Cyber Crime
Received phishing email asking OTP,Afternoon,Hospital,received phishing email,No,Cyber Crime
My bank account was hacked,Morning,Office,my bank account,Yes,Cyber Crime
Received phishing email asking OTP,Evening,Market,received phishing email,Yes,Cyber Crime
Credit card scam reported,Afternoon,Railway Station,credit card scam,Yes,Cyber Crime
Online fraud through UPI,Afternoon,School,online fraud through,No,Cyber Crime
Credit card scam reported,Evening,Railway Station,credit card scam,Yes,Cyber Crime
My bank account was hacked,Evening,Market,my bank account,Yes,Cyber Crime
Instagram account hacked,Afternoon,Highway,instagram account hacked,No,Cyber Crime
Credit card scam reported,Night,Bank,credit card scam,Yes,Cyber Crime
Online fraud through UPI,Night,Hospital,online fraud through,Yes,Cyber Crime
Online fraud through UPI,Night,Railway Station,online fraud through,Yes,Cyber Crime
Credit card scam reported,Night,Highway,credit card scam,No,Cyber Crime
Received phishing email asking OTP,Morning,Highway,received phishing email,No,Cyber Crime
Received phishing email asking OTP,Night,Residential,received phishing email,No,Cyber Crime
Online fraud through UPI,Evening,Highway,online fraud through,Yes,Cyber Crime
My bank account was hacked,Evening,Hospital,my bank account,No,Cyber Crime
Online fraud through UPI,Morning,Residential,online fraud through,Yes,Cyber Crime
Received phishing email asking OTP,Night,Hospital,received phishing email,No,Cyber Crime
My bank account was hacked,Morning,Highway,my bank account,No,Cyber Crime
Credit card scam reported,Morning,Bank,credit card scam,No,Cyber Crime
My bank account was hacked,Evening,Railway Station,my bank account,No,Cyber Crime
My bank account was hacked,Afternoon,Residential,my bank account,No,Cyber Crime
Received phishing email asking OTP,Afternoon,Office,received phishing email,No,Cyber Crime
Online fraud through UPI,Night,Residential,online fraud through,Yes,Cyber Crime
Received phishing email asking OTP,Night,Office,received phishing email,No,Cyber Crime
Online fraud through UPI,Night,Highway,online fraud through,No,Cyber Crime
Online fraud through UPI,Afternoon,Hospital,online fraud through,Yes,Cyber Crime
Instagram account hacked,Morning,Residential,instagram account hacked,No,Cyber Crime
My bank account was hacked,Night,Bank,my bank account,No,Cyber Crime
Online fraud through UPI,Night,Bank,online fraud through,No,Cyber Crime
Credit card scam reported,Afternoon,Office,credit card scam,No,Cyber Crime
Credit card scam reported,Afternoon,Hospital,credit card scam,No,Cyber Crime
Received phishing email asking OTP,Night,Bank,received phishing email,No,Cyber Crime
Instagram account hacked,Afternoon,Bank,instagram account hacked,No,Cyber Crime
Online fraud through UPI,Night,Bank,online fraud through,Yes,Cyber Crime
Credit card scam reported,Afternoon,Residential,credit card scam,Yes,Cyber Crime
Bus accident injured passengers,Afternoon,Hospital,bus accident injured,No,Accident
Road accident on highway,Night,Hospital,road accident on,Yes,Accident
Truck hit a bike,Afternoon,Office,truck hit a,Yes,Accident
Bus accident injured passengers,Night,Highway,bus accident injured,No,Accident
Major collision near bridge,Night,Railway Station,major collision near,No,Accident
Major collision near bridge,Morning,Bank,major collision near,Yes,Accident
Road accident on highway,Afternoon,Bank,road accident on,Yes,Accident
Major collision near bridge,Morning,Railway Station,major collision near,No,Accident
Bus accident injured passengers,Morning,Market,bus accident injured,Yes,Accident
Truck hit a bike,Afternoon,School,truck hit a,No,Accident
Truck hit a bike,Night,Hospital,truck hit a,Yes,Accident
Truck hit a bike,Morning,Hospital,truck hit a,Yes,Accident
Truck hit a bike,Night,Highway,truck hit a,Yes,Accident
Two cars collided near signal,Evening,Office,two cars collided,No,Accident
Bus accident injured passengers,Afternoon,Hospital,bus accident injured,No,Accident
Bus accident injured passengers,Morning,Hospital,bus accident injured,No,Accident
Truck hit a bike,Morning,Office,truck hit a,Yes,Accident
Road accident on highway,Morning,Bank,road accident on,Yes,Accident
Two cars collided near signal,Afternoon,Residential,two cars collided,Yes,Accident
Truck hit a bike,Night,Hospital,truck hit a,Yes,Accident
Bus accident injured passengers,Afternoon,Residential,bus accident injured,No,Accident
Bus accident injured passengers,Morning,School,bus accident injured,No,Accident
Major collision near bridge,Night,Railway Station,major collision near,Yes,Accident
Two cars collided near signal,Afternoon,Office,two cars collided,Yes,Accident
Major collision near bridge,Morning,Residential,major collision near,No,Accident
Truck hit a bike,Afternoon,Hospital,truck hit a,Yes,Accident
Truck hit a bike,Night,Bank,truck hit a,No,Accident
Major collision near bridge,Night,Highway,major collision near,No,Accident
Truck hit a bike,Night,Residential,truck hit a,No,Accident
Major collision near bridge,Morning,Residential,major collision near,No,Accident
Road accident on highway,Afternoon,Office,road accident on,Yes,Accident
Two cars collided near signal,Evening,Residential,two cars collided,No,Accident
Bus accident injured passengers,Afternoon,Railway Station,bus accident injured,No,Accident
Two cars collided near signal,Night,Residential,two cars collided,Yes,Accident
Bus accident injured passengers,Evening,Residential,bus accident injured,Yes,Accident
Truck hit a bike,Night,Market,truck hit a,No,Accident
Road accident on highway,Night,Residential,road accident on,Yes,Accident
Bus accident injured passengers,Night,Railway Station,bus accident injured,No,Accident
Bus accident injured passengers,Night,Hospital,bus accident injured,Yes,Accident
Road accident on highway,Morning,School,road accident on,No,Accident
Road accident on highway,Evening,School,road accident on,No,Accident
Two cars collided near signal,Night,Hospital,two cars collided,Yes,Accident
Major collision near bridge,Morning,Office,major collision near,No,Accident
Major collision near bridge,Morning,Hospital,major collision near,Yes,Accident
Bus accident injured passengers,Morning,School,bus accident injured,No,Accident
Road accident on highway,Night,Office,road accident on,No,Accident
Road accident on highway,Night,Highway,road accident on,Yes,Accident
Two cars collided near signal,Evening,Railway Station,two cars collided,Yes,Accident
Major collision near bridge,Afternoon,School,major collision near,Yes,Accident
Road accident on highway,Evening,Office,road accident on,Yes,Accident
Truck hit a bike,Evening,Office,truck hit a,No,Accident
Major collision near bridge,Morning,Residential,major collision near,No,Accident
Road accident on highway,Evening,Residential,road accident on,Yes,Accident
Two cars collided near signal,Afternoon,Bank,two cars collided,Yes,Accident
Bus accident injured passengers,Night,Residential,bus accident injured,No,Accident
Bus accident injured passengers,Night,Hospital,bus accident injured,Yes,Accident
Road accident on highway,Night,Office,road accident on,No,Accident
Bus accident injured passengers,Night,Bank,bus accident injured,Yes,Accident
Road accident on highway,Night,Bank,road accident on,Yes,Accident
Major collision near bridge,Night,School,major collision near,No,Accident
Two cars collided near signal,Night,Office,two cars collided,No,Accident
Truck hit a bike,Evening,Residential,truck hit a,No,Accident
Truck hit a bike,Morning,Market,truck hit a,Yes,Accident
Bus accident injured passengers,Morning,Highway,bus accident injured,Yes,Accident
Bus accident injured passengers,Night,Market,bus accident injured,No,Accident
Two cars collided near signal,Afternoon,Office,two cars collided,Yes,Accident
Truck hit a bike,Morning,Bank,truck hit a,No,Accident
Road accident on highway,Evening,Residential,road accident on,Yes,Accident
Bus accident injured passengers,Evening,School,bus accident injured,No,Accident
Road accident on highway,Morning,Market,road accident on,Yes,Accident
Bus accident injured passengers,Morning,Residential,bus accident injured,Yes,Accident
Major collision near bridge,Night,Market,major collision near,Yes,Accident
Truck hit a bike,Morning,Railway Station,truck hit a,Yes,Accident
Bus accident injured passengers,Morning,School,bus accident injured,No,Accident
Road accident on highway,Morning,Highway,road accident on,No,Accident
Truck hit a bike,Evening,Residential,truck hit a,No,Accident
Two cars collided near signal,Afternoon,Highway,two cars collided,Yes,Accident
Major collision near bridge,Afternoon,Hospital,major collision near,No,Accident
Two cars collided near signal,Afternoon,Railway Station,two cars collided,No,Accident
Two cars collided near signal,Morning,Highway,two cars collided,Yes,Accident
Road accident on highway,Night,Bank,road accident on,No,Accident
Truck hit a bike,Afternoon,School,truck hit a,No,Accident
Road accident on highway,Afternoon,Office,road accident on,Yes,Accident
Truck hit a bike,Afternoon,School,truck hit a,No,Accident
Truck hit a bike,Morning,School,truck hit a,No,Accident
Bus accident injured passengers,Morning,School,bus accident injured,No,Accident
Major collision near bridge,Morning,Market,major collision near,No,Accident
Truck hit a bike,Afternoon,Railway Station,truck hit a,No,Accident
Truck hit a bike,Afternoon,Hospital,truck hit a,Yes,Accident
Road accident on highway,Morning,Market,road accident on,No,Accident
Two cars collided near signal,Morning,Market,two cars collided,No,Accident
Major collision near bridge,Evening,Railway Station,major collision near,No,Accident
Bus accident injured passengers,Morning,Residential,bus accident injured,No,Accident
Road accident on highway,Evening,Highway,road accident on,Yes,Accident
Two cars collided near signal,Evening,Railway Station,two cars collided,Yes,Accident
Truck hit a bike,Night,School,truck hit a,Yes,Accident
Two cars collided near signal,Morning,Railway Station,two cars collided,Yes,Accident
Bus accident injured passengers,Morning,Office,bus accident injured,Yes,Accident
Road accident on highway,Morning,Residential,road accident on,Yes,Accident
Two cars collided near signal,Night,Bank,two cars collided,No,Accident
Two cars collided near signal,Evening,Residential,two cars collided,No,Accident
Road accident on highway,Morning,Bank,road accident on,No,Accident
Truck hit a bike,Morning,Office,truck hit a,Yes,Accident
Bus accident injured passengers,Night,Bank,bus accident injured,Yes,Accident
Bus accident injured passengers,Afternoon,Bank,bus accident injured,Yes,Accident
Truck hit a bike,Morning,Highway,truck hit a,Yes,Accident
Major collision near bridge,Morning,Market,major collision near,Yes,Accident
Two cars collided near signal,Morning,Hospital,two cars collided,No,Accident
Bus accident injured passengers,Afternoon,Residential,bus accident injured,Yes,Accident
Major collision near bridge,Night,School,major collision near,No,Accident
Two cars collided near signal,Night,Bank,two cars collided,No,Accident
Road accident on highway,Evening,Highway,road accident on,Yes,Accident
Two cars collided near signal,Afternoon,Market,two cars collided,No,Accident
Road accident on highway,Night,Office,road accident on,No,Accident
Truck hit a bike,Morning,Hospital,truck hit a,Yes,Accident
Truck hit a bike,Afternoon,Office,truck hit a,No,Accident
Major collision near bridge,Afternoon,Hospital,major collision near,No,Accident
Major collision near bridge,Night,School,major collision near,Yes,Accident
Two cars collided near signal,Morning,Railway Station,two cars collided,Yes,Accident
Two cars collided near signal,Evening,Market,two cars collided,No,Accident
Road accident on highway,Night,Office,road accident on,Yes,Accident
Two cars collided near signal,Afternoon,Railway Station,two cars collided,No,Accident
Road accident on highway,Afternoon,Office,road accident on,Yes,Accident
Road accident on highway,Afternoon,Railway Station,road accident on,No,Accident
Bus accident injured passengers,Morning,Highway,bus accident injured,Yes,Accident
Bus accident injured passengers,Morning,Market,bus accident injured,No,Accident
Two cars collided near signal,Afternoon,Office,two cars collided,No,Accident
Truck hit a bike,Night,Bank,truck hit a,No,Accident
Bus accident injured passengers,Evening,School,bus accident injured,Yes,Accident
Two cars collided near signal,Afternoon,Highway,two cars collided,Yes,Accident
Road accident on highway,Afternoon,Hospital,road accident on,No,Accident
Truck hit a bike,Night,Highway,truck hit a,No,Accident
Two cars collided near signal,Night,Office,two cars collided,No,Accident
Truck hit a bike,Morning,Highway,truck hit a,Yes,Accident
Truck hit a bike,Morning,School,truck hit a,No,Accident
Two cars collided near signal,Morning,School,two cars collided,No,Accident
Bus accident injured passengers,Morning,Office,bus accident injured,No,Accident
Two cars collided near signal,Morning,Railway Station,two cars collided,No,Accident
Major collision near bridge,Afternoon,Highway,major collision near,No,Accident
Road accident on highway,Afternoon,Highway,road accident on,Yes,Accident
Road accident on highway,Afternoon,Residential,road accident on,Yes,Accident
Bus accident injured passengers,Evening,Highway,bus accident injured,No,Accident
Road accident on highway,Morning,Highway,road accident on,Yes,Accident
Bus accident injured passengers,Afternoon,Highway,bus accident injured,No,Accident
Road accident on highway,Morning,Hospital,road accident on,Yes,Accident
Two cars collided near signal,Night,Railway Station,two cars collided,No,Accident
Road accident on highway,Night,Railway Station,road accident on,Yes,Accident
Truck hit a bike,Afternoon,Residential,truck hit a,No,Accident
Truck hit a bike,Night,Residential,truck hit a,Yes,Accident
Major collision near bridge,Afternoon,Office,major collision near,No,Accident
Bus accident injured passengers,Night,Market,bus accident injured,Yes,Accident
Truck hit a bike,Night,Residential,truck hit a,No,Accident
Two cars collided near signal,Afternoon,Market,two cars collided,No,Accident
Truck hit a bike,Night,Hospital,truck hit a,No,Accident
Major collision near bridge,Evening,Railway Station,major collision near,No,Accident
Two cars collided near signal,Morning,Bank,two cars collided,Yes,Accident
Road accident on highway,Evening,Market,road accident on,No,Accident
Major collision near bridge,Evening,School,major collision near,Yes,Accident
Road accident on highway,Afternoon,School,road accident on,No,Accident
Major collision near bridge,Morning,School,major collision near,No,Accident
Truck hit a bike,Afternoon,Residential,truck hit a,Yes,Accident
Major collision near bridge,Evening,Bank,major collision near,Yes,Accident
Truck hit a bike,Afternoon,School,truck hit a,No,Accident
Major collision near bridge,Evening,Residential,major collision near,No,Accident
Road accident on highway,Morning,Market,road accident on,Yes,Accident
Major collision near bridge,Afternoon,Market,major collision near,No,Accident
Road accident on highway,Evening,School,road accident on,Yes,Accident
Truck hit a bike,Afternoon,Bank,truck hit a,Yes,Accident
Road accident on highway,Afternoon,Residential,road accident on,Yes,Accident
Major collision near bridge,Evening,Highway,major collision near,No,Accident
Bus accident injured passengers,Morning,Bank,bus accident injured,No,Accident
Truck hit a bike,Afternoon,Residential,truck hit a,No,Accident
Bus accident injured passengers,Evening,Residential,bus accident injured,No,Accident
Two cars collided near signal,Afternoon,Railway Station,two cars collided,No,Accident
Truck hit a bike,Afternoon,Residential,truck hit a,Yes,Accident
Major collision near bridge,Night,Market,major collision near,Yes,Accident
Major collision near bridge,Evening,School,major collision near,Yes,Accident
Bus accident injured passengers,Afternoon,Bank,bus accident injured,Yes,Accident
Two cars collided near signal,Evening,Bank,two cars collided,Yes,Accident
Road accident on highway,Evening,Hospital,road accident on,Yes,Accident
Truck hit a bike,Afternoon,School,truck hit a,Yes,Accident
Truck hit a bike,Evening,Highway,truck hit a,Yes,Accident
Road accident on highway,Night,Hospital,road accident on,No,Accident
Two cars collided near signal,Night,Hospital,two cars collided,No,Accident
Truck hit a bike,Night,Highway,truck hit a,No,Accident
Major collision near bridge,Afternoon,Residential,major collision near,No,Accident
Road accident on highway,Morning,Office,road accident on,Yes,Accident
Truck hit a bike,Evening,Highway,truck hit a,Yes,Accident
Truck hit a bike,Afternoon,Railway Station,truck hit a,Yes,Accident
Road accident on highway,Morning,Bank,road accident on,No,Accident
Road accident on highway,Night,Residential,road accident on,No,Accident
Two cars collided near signal,Morning,Highway,two cars collided,No,Accident
Two cars collided near signal,Afternoon,Railway Station,two cars collided,No,Accident
Truck hit a bike,Evening,School,truck hit a,Yes,Accident
Road accident on highway,Night,Hospital,road accident on,Yes,Accident
Road accident on highway,Evening,Market,road accident on,No,Accident
Road accident on highway,Evening,Hospital,road accident on,Yes,Accident
Road accident on highway,Morning,School,road accident on,Yes,Accident
Truck hit a bike,Morning,Hospital,truck hit a,Yes,Accident
Truck hit a bike,Night,Hospital,truck hit a,No,Accident
Gas leak reported,Morning,Railway Station,gas leak reported,Yes,Emergency
Gas leak reported,Night,Bank,gas leak reported,Yes,Emergency
Building collapse reported,Morning,Office,building collapse reported,No,Emergency
Building collapse reported,Evening,School,building collapse reported,No,Emergency
Need ambulance immediately,Morning,Residential,need ambulance immediately,Yes,Emergency
Fire broke out in apartment,Evening,Railway Station,fire broke out,Yes,Emergency
Need ambulance immediately,Morning,Railway Station,need ambulance immediately,No,Emergency
Need ambulance immediately,Night,School,need ambulance immediately,No,Emergency
Gas leak reported,Morning,Railway Station,gas leak reported,Yes,Emergency
Need ambulance immediately,Afternoon,Highway,need ambulance immediately,No,Emergency
Medical emergency at home,Afternoon,School,medical emergency at,Yes,Emergency
Medical emergency at home,Morning,Railway Station,medical emergency at,Yes,Emergency
Building collapse reported,Afternoon,Residential,building collapse reported,No,Emergency
Gas leak reported,Morning,Highway,gas leak reported,No,Emergency
Need ambulance immediately,Night,Bank,need ambulance immediately,No,Emergency
Need ambulance immediately,Night,Market,need ambulance immediately,No,Emergency
Fire broke out in apartment,Night,Residential,fire broke out,Yes,Emergency
Need ambulance immediately,Morning,Highway,need ambulance immediately,Yes,Emergency
Gas leak reported,Evening,Railway Station,gas leak reported,No,Emergency
Building collapse reported,Night,Hospital,building collapse reported,Yes,Emergency
Medical emergency at home,Evening,Railway Station,medical emergency at,Yes,Emergency
Need ambulance immediately,Night,Market,need ambulance immediately,No,Emergency
Gas leak reported,Afternoon,Market,gas leak reported,No,Emergency
Gas leak reported,Evening,Market,gas leak reported,No,Emergency
Gas leak reported,Evening,Office,gas leak reported,No,Emergency
Fire broke out in apartment,Afternoon,Residential,fire broke out,No,Emergency
Building collapse reported,Evening,Office,building collapse reported,No,Emergency
Need ambulance immediately,Morning,School,need ambulance immediately,No,Emergency
Medical emergency at home,Night,Hospital,medical emergency at,No,Emergency
Fire broke out in apartment,Afternoon,Highway,fire broke out,No,Emergency
Need ambulance immediately,Night,Residential,need ambulance immediately,Yes,Emergency
Medical emergency at home,Afternoon,School,medical emergency at,Yes,Emergency
Medical emergency at home,Morning,Hospital,medical emergency at,Yes,Emergency
Gas leak reported,Afternoon,Office,gas leak reported,No,Emergency
Building collapse reported,Night,Highway,building collapse reported,Yes,Emergency
Medical emergency at home,Evening,Hospital,medical emergency at,No,Emergency
Medical emergency at home,Night,Bank,medical emergency at,No,Emergency
Medical emergency at home,Evening,Highway,medical emergency at,No,Emergency
Fire broke out in apartment,Night,Market,fire broke out,Yes,Emergency
Need ambulance immediately,Afternoon,School,need ambulance immediately,Yes,Emergency
Medical emergency at home,Evening,Railway Station,medical emergency at,Yes,Emergency
Fire broke out in apartment,Night,Residential,fire broke out,Yes,Emergency
Need ambulance immediately,Morning,School,need ambulance immediately,No,Emergency
Need ambulance immediately,Evening,Office,need ambulance immediately,No,Emergency
Building collapse reported,Evening,Hospital,building collapse reported,No,Emergency
